Episode: 65, Steps: 200, Reward: -1127.1731040803024, Best reward: -870.2983671324396, Avg reward: -1240.712472596385
Episode: 66, Steps: 200, Reward: -1121.957216968063, Best reward: -870.2983671324396, Avg reward: -1238.9400060944697
Episode: 0, Steps: 200, Reward: -1814.4284834082507, Best reward: -inf, Avg reward: -1814.4284834082507
Episode: 0, Steps: 200, Reward: -1233.9491452675484, Best reward: -inf, Avg reward: -1233.9491452675484
Episode: 1, Steps: 200, Reward: -1185.9658838598566, Best reward: -1233.9491452675484, Avg reward: -1209.9575145637025
Episode: 2, Steps: 200, Reward: -1127.4144890779908, Best reward: -1185.9658838598566, Avg reward: -1182.4431727351318
Episode: 3, Steps: 200, Reward: -1197.334376418556, Best reward: -1127.4144890779908, Avg reward: -1186.165973655988
Episode: 4, Steps: 200, Reward: -1057.7115814165818, Best reward: -1127.4144890779908, Avg reward: -1160.4750952081067
Episode: 5, Steps: 200, Reward: -1151.018455691173, Best reward: -1057.7115814165818, Avg reward: -1158.898988621951
Episode: 6, Steps: 200, Reward: -1236.2916400698034, Best reward: -1057.7115814165818, Avg reward: -1169.9550816859298
Episode: 7, Steps: 200, Reward: -1114.3507743372272, Best reward: -1057.7115814165818, Avg reward: -1163.0045432673421
Episode: 8, Steps: 200, Reward: -1025.6162928314095, Best reward: -1057.7115814165818, Avg reward: -1147.739182107794
Episode: 9, Steps: 200, Reward: -1379.4571878591917, Best reward: -1025.6162928314095, Avg reward: -1170.910982682934
Episode: 10, Steps: 200, Reward: -1093.1645105295327, Best reward: -1025.6162928314095, Avg reward: -1163.8431215780793
Episode: 11, Steps: 200, Reward: -1072.0336618938707, Best reward: -1025.6162928314095, Avg reward: -1156.192333271062
Episode: 12, Steps: 200, Reward: -1088.9289910738323, Best reward: -1025.6162928314095, Avg reward: -1151.018230025121
Episode: 13, Steps: 200, Reward: -1166.1662701613627, Best reward: -1025.6162928314095, Avg reward: -1152.1002328919953
Episode: 14, Steps: 200, Reward: -1182.643213400099, Best reward: -1025.6162928314095, Avg reward: -1154.1364315925357
Episode: 15, Steps: 200, Reward: -1167.782259240284, Best reward: -1025.6162928314095, Avg reward: -1154.98929582052
Episode: 16, Steps: 200, Reward: -748.3058003560217, Best reward: -1025.6162928314095, Avg reward: -1131.066737263785
Episode: 17, Steps: 200, Reward: -1737.4137171044363, Best reward: -748.3058003560217, Avg reward: -1164.7526805882653
Episode: 18, Steps: 200, Reward: -975.896300400431, Best reward: -748.3058003560217, Avg reward: -1154.8128711046952
Episode: 19, Steps: 200, Reward: -868.3486108786011, Best reward: -748.3058003560217, Avg reward: -1140.4896580933905
Episode: 20, Steps: 200, Reward: -846.0662843848186, Best reward: -748.3058003560217, Avg reward: -1126.4694974406016
Episode: 21, Steps: 200, Reward: -768.6099519990258, Best reward: -748.3058003560217, Avg reward: -1110.2031544659844
Episode: 22, Steps: 200, Reward: -1112.0965724354626, Best reward: -748.3058003560217, Avg reward: -1110.2854769863966
Episode: 23, Steps: 200, Reward: -360.9287396207151, Best reward: -748.3058003560217, Avg reward: -1079.0622795961597
Episode: 24, Steps: 200, Reward: -638.6337425517837, Best reward: -360.9287396207151, Avg reward: -1061.4451381143847
Episode: 25, Steps: 200, Reward: -255.15611603910523, Best reward: -360.9287396207151, Avg reward: -1030.4340218807201
Episode: 26, Steps: 200, Reward: -496.38418982024865, Best reward: -255.15611603910523, Avg reward: -1010.6543984710729
Episode: 27, Steps: 200, Reward: -621.0442560354837, Best reward: -255.15611603910523, Avg reward: -996.7397505269447
Episode: 28, Steps: 200, Reward: -347.26350029542465, Best reward: -255.15611603910523, Avg reward: -974.3440177603405
Episode: 29, Steps: 200, Reward: -618.2561830952409, Best reward: -255.15611603910523, Avg reward: -962.4744232715038
Episode: 30, Steps: 200, Reward: -500.3706204730435, Best reward: -255.15611603910523, Avg reward: -947.5678489876825
Episode: 31, Steps: 200, Reward: -614.8469868398297, Best reward: -255.15611603910523, Avg reward: -937.1703220455622
Episode: 32, Steps: 200, Reward: -486.4495464969599, Best reward: -255.15611603910523, Avg reward: -923.5121167259076
Episode: 33, Steps: 200, Reward: -746.5887252400338, Best reward: -255.15611603910523, Avg reward: -918.3084875645584
Episode: 34, Steps: 200, Reward: -375.2067710290634, Best reward: -255.15611603910523, Avg reward: -902.7912956635442
Episode: 35, Steps: 200, Reward: -241.13506332239453, Best reward: -255.15611603910523, Avg reward: -884.4119558762901
Episode: 36, Steps: 200, Reward: -1076.4695264556403, Best reward: -241.13506332239453, Avg reward: -889.6027010270834
Episode: 37, Steps: 200, Reward: -643.6958219294111, Best reward: -241.13506332239453, Avg reward: -883.1314673666183
Episode: 38, Steps: 200, Reward: -122.09273407893872, Best reward: -241.13506332239453, Avg reward: -863.6176536925753
Episode: 39, Steps: 200, Reward: -0.5572283950856339, Best reward: -122.09273407893872, Avg reward: -842.041143060138
Episode: 40, Steps: 200, Reward: -570.8303025045313, Best reward: -0.5572283950856339, Avg reward: -835.4262445100012
Episode: 41, Steps: 200, Reward: -357.780169159911, Best reward: -0.5572283950856339, Avg reward: -824.0537189064277
Episode: 42, Steps: 200, Reward: -130.0283174655265, Best reward: -0.5572283950856339, Avg reward: -807.913593291523
Episode: 43, Steps: 200, Reward: -245.73388314299478, Best reward: -0.5572283950856339, Avg reward: -795.1367816972382
Episode: 44, Steps: 200, Reward: -294.81746423087054, Best reward: -0.5572283950856339, Avg reward: -784.0185746424302
Episode: 45, Steps: 200, Reward: -247.6462606559612, Best reward: -0.5572283950856339, Avg reward: -772.358306947072
Episode: 46, Steps: 200, Reward: -240.45131749881077, Best reward: -0.5572283950856339, Avg reward: -761.0411369588111
Episode: 47, Steps: 200, Reward: -238.97418615512586, Best reward: -0.5572283950856339, Avg reward: -750.1647421504011
Episode: 48, Steps: 200, Reward: -119.32757754790529, Best reward: -0.5572283950856339, Avg reward: -737.2905143013705
Episode: 49, Steps: 200, Reward: -369.5775559004732, Best reward: -0.5572283950856339, Avg reward: -729.9362551333527
Episode: 50, Steps: 200, Reward: -613.1483927587603, Best reward: -0.5572283950856339, Avg reward: -727.6462970475764
Episode: 51, Steps: 200, Reward: -381.4831677950789, Best reward: -0.5572283950856339, Avg reward: -720.9893137927206
Episode: 52, Steps: 200, Reward: -125.80695846074394, Best reward: -0.5572283950856339, Avg reward: -709.75945803174
Episode: 53, Steps: 200, Reward: -387.37492326364577, Best reward: -0.5572283950856339, Avg reward: -703.789374054553
Episode: 54, Steps: 200, Reward: -126.83085801694989, Best reward: -0.5572283950856339, Avg reward: -693.2992192175057
Episode: 55, Steps: 200, Reward: -235.26569624308118, Best reward: -0.5572283950856339, Avg reward: -685.1200491643909
Episode: 56, Steps: 200, Reward: -126.8995907609807, Best reward: -0.5572283950856339, Avg reward: -675.3267077888925
Episode: 57, Steps: 200, Reward: -234.8792063853685, Best reward: -0.5572283950856339, Avg reward: -667.7327853509006
Episode: 58, Steps: 200, Reward: -121.94453308601005, Best reward: -0.5572283950856339, Avg reward: -658.4821370074279
Episode: 59, Steps: 200, Reward: -732.1091067995811, Best reward: -0.5572283950856339, Avg reward: -659.7092531706305
Episode: 60, Steps: 200, Reward: -378.71054974071046, Best reward: -0.5572283950856339, Avg reward: -655.1027170488285
Episode: 61, Steps: 200, Reward: -638.4057551905246, Best reward: -0.5572283950856339, Avg reward: -654.8334112124043
Episode: 62, Steps: 200, Reward: -362.7549352573483, Best reward: -0.5572283950856339, Avg reward: -650.1972449274034
Episode: 63, Steps: 200, Reward: -358.36787489108536, Best reward: -0.5572283950856339, Avg reward: -645.6374110205859
Episode: 64, Steps: 200, Reward: -475.8463160486617, Best reward: -0.5572283950856339, Avg reward: -643.0252403287102
Episode: 65, Steps: 200, Reward: -1.5646308336395491, Best reward: -0.5572283950856339, Avg reward: -633.3061401848454
Episode: 66, Steps: 200, Reward: -238.95215448466678, Best reward: -0.5572283950856339, Avg reward: -627.4202598012606
Episode: 67, Steps: 200, Reward: -125.65566121137289, Best reward: -0.5572283950856339, Avg reward: -620.041368645527
Episode: 68, Steps: 200, Reward: -249.46075397304548, Best reward: -0.5572283950856339, Avg reward: -614.6706350995489
Episode: 69, Steps: 200, Reward: -124.68326604616985, Best reward: -0.5572283950856339, Avg reward: -607.6708155416436
Episode: 70, Steps: 200, Reward: -236.06211216778138, Best reward: -0.5572283950856339, Avg reward: -602.4368901420117
Episode: 71, Steps: 200, Reward: -121.11770561256442, Best reward: -0.5572283950856339, Avg reward: -595.7519014679916
Episode: 72, Steps: 200, Reward: -118.69103140511734, Best reward: -0.5572283950856339, Avg reward: -589.2168210561715
Episode: 73, Steps: 200, Reward: -868.6875828909026, Best reward: -0.5572283950856339, Avg reward: -592.9934529728571
Episode: 74, Steps: 200, Reward: -125.70767864870453, Best reward: -0.5572283950856339, Avg reward: -586.7629759818683
Episode: 75, Steps: 200, Reward: -357.45002113025413, Best reward: -0.5572283950856339, Avg reward: -583.7457002601365
Episode: 76, Steps: 200, Reward: -126.65111596967593, Best reward: -0.5572283950856339, Avg reward: -577.809406957663
Episode: 77, Steps: 200, Reward: -356.7106734199884, Best reward: -0.5572283950856339, Avg reward: -574.9748078097441
Episode: 78, Steps: 200, Reward: -610.1473426645313, Best reward: -0.5572283950856339, Avg reward: -575.4200297699313
Episode: 79, Steps: 200, Reward: -361.1265837878046, Best reward: -0.5572283950856339, Avg reward: -572.7413616951548
Episode: 80, Steps: 200, Reward: -252.72240580559262, Best reward: -0.5572283950856339, Avg reward: -568.7905103878762
Episode: 81, Steps: 200, Reward: -236.42163225295957, Best reward: -0.5572283950856339, Avg reward: -564.737231386231
Episode: 82, Steps: 200, Reward: -356.93837436900066, Best reward: -0.5572283950856339, Avg reward: -562.2336306992763
Episode: 83, Steps: 200, Reward: -123.01233298140578, Best reward: -0.5572283950856339, Avg reward: -557.0048057264446
